sample,acc
1458,0.511309
1459,0.511644
1460,0.511978
1461,0.512312
1462,0.511962
1463,0.512295
1464,0.511945
1465,0.512278
1466,0.511929
1467,0.51158
1468,0.511232
1469,0.511565
1470,0.511897
1471,0.512228
1472,0.512559
1473,0.512212
1474,0.512542
1475,0.512873
1476,0.513202
1477,0.512855
1478,0.513185
1479,0.513514
1480,0.513842
1481,0.513495
1482,0.513823
1483,0.514151
1484,0.514478
1485,0.514805
1486,0.515131
1487,0.514785
1488,0.515111
1489,0.515436
1490,0.515761
1491,0.516086
1492,0.51574
1493,0.516064
1494,0.516388
1495,0.516711
1496,0.517034
1497,0.517356
1498,0.517678
1499,0.518
1500,0.518321
1501,0.518642
1502,0.518962
1503,0.519282
1504,0.519601
1505,0.51992
1506,0.520239
1507,0.520557
1508,0.520875
1509,0.52053
1510,0.520847
1511,0.521164
1512,0.52082
1513,0.521136
1514,0.521452
1515,0.521768
1516,0.522083
1517,0.522398
1518,0.522054
1519,0.522368
1520,0.522682
1521,0.522996
1522,0.522653
1523,0.522966
1524,0.523279
1525,0.523591
1526,0.523903
1527,0.524215
1528,0.524526
1529,0.524837
1530,0.525147
1531,0.524804
1532,0.525114
1533,0.525424
1534,0.525733
1535,0.525391
1536,0.525699
1537,0.526008
1538,0.525666
1539,0.525974
1540,0.526282
1541,0.526589
1542,0.526248
1543,0.526554
1544,0.526861
1545,0.52652
1546,0.526826
1547,0.527132
1548,0.527437
1549,0.527742
1550,0.528046
1551,0.528351
1552,0.52801
1553,0.528314
1554,0.527974
1555,0.527635
1556,0.527938
1557,0.528241
1558,0.528544
1559,0.528846
1560,0.528507
1561,0.528809
1562,0.529111
1563,0.529412
1564,0.529712
1565,0.530013
1566,0.530313
1567,0.530612
1568,0.530911
1569,0.53121
1570,0.531509
1571,0.531807
1572,0.531469
1573,0.531131
1574,0.530794
1575,0.530457
1576,0.530755
1577,0.531052
1578,0.531349
1579,0.531646
1580,0.531942
1581,0.532238
1582,0.532533
1583,0.532828
1584,0.533123
1585,0.533417
1586,0.533081
1587,0.532746
1588,0.53304
1589,0.533333
1590,0.533627
1591,0.533291
1592,0.532957
1593,0.532622
1594,0.532915
1595,0.533208
1596,0.5335
1597,0.533792
1598,0.533458
1599,0.53375
1600,0.533417
1601,0.533708
1602,0.533999
1603,0.534289
1604,0.533956
1605,0.534247
1606,0.534536
1607,0.534826
1608,0.535115
1609,0.535404
1610,0.535692
1611,0.53598
1612,0.536268
1613,0.536555
1614,0.536223
1615,0.53651
1616,0.536178
1617,0.536465
1618,0.536133
1619,0.53642
1620,0.536089
1621,0.536375
1622,0.536044
1623,0.53633
1624,0.536615
1625,0.5369
1626,0.537185
1627,0.537469
1628,0.537753
1629,0.538037
1630,0.53832
1631,0.538603
1632,0.538885
1633,0.539168
1634,0.53945
1635,0.53912
1636,0.539401
1637,0.539683
1638,0.539353
1639,0.539634
1640,0.539915
1641,0.540195
1642,0.539866
1643,0.540146
1644,0.540426
1645,0.540705
1646,0.540984
1647,0.541262
1648,0.540934
1649,0.541212
1650,0.54149
1651,0.541768
1652,0.542045
1653,0.542322
1654,0.542598
1655,0.542874
1656,0.542547
1657,0.54222
1658,0.542495
1659,0.542771
1660,0.542444
1661,0.54272
1662,0.542393
1663,0.542668
1664,0.542943
1665,0.543217
1666,0.543491
1667,0.543765
1668,0.544038
1669,0.544311
1670,0.544584
1671,0.544856
1672,0.545129
1673,0.5454
1674,0.545075
1675,0.545346
1676,0.545021
1677,0.545292
1678,0.545563
1679,0.545833
1680,0.546104
1681,0.546373
1682,0.546643
1683,0.546318
1684,0.545994
1685,0.546263
1686,0.546532
1687,0.546801
1688,0.546477
1689,0.546746
1690,0.547014
1691,0.547281
1692,0.547549
1693,0.547816
1694,0.548083
1695,0.547759
1696,0.548026
1697,0.548292
1698,0.548558
1699,0.548824
1700,0.549089
1701,0.549354
1702,0.549618
1703,0.549883
1704,0.54956
1705,0.549824
1706,0.550088
1707,0.550351
1708,0.550614
